Filename,FullPath,Label,Malware_Class
0468127a19daf4c7bc41015c5640fe1f,C:\samples\malware\All.ElectroRAT\0468127a19daf4c7bc41015c5640fe1f,malware,All.ElectroRAT
2a3b92f6180367306d750e59c9b6446b,C:\samples\malware\All.ElectroRAT\2a3b92f6180367306d750e59c9b6446b,malware,All.ElectroRAT
b154ac015c0d1d6250032f63c749f9cf,C:\samples\malware\All.ElectroRAT\b154ac015c0d1d6250032f63c749f9cf,malware,All.ElectroRAT
b96bd6bbf0e3f4f98b606a2ab5db4a69,C:\samples\malware\All.ElectroRAT\b96bd6bbf0e3f4f98b606a2ab5db4a69,malware,All.ElectroRAT
bb8e52face5b076cc890bbfaaf4bb73e,C:\samples\malware\All.ElectroRAT\bb8e52face5b076cc890bbfaaf4bb73e,malware,All.ElectroRAT
ca467e332368cbae652245faa4978aa4,C:\samples\malware\All.ElectroRAT\ca467e332368cbae652245faa4978aa4,malware,All.ElectroRAT
e93d6f4ce34d4f594d7aed76cfde0fad,C:\samples\malware\All.ElectroRAT\e93d6f4ce34d4f594d7aed76cfde0fad,malware,All.ElectroRAT
fa5390bbcc4ab768dd81f31eac0950f6,C:\samples\malware\All.ElectroRAT\fa5390bbcc4ab768dd81f31eac0950f6,malware,All.ElectroRAT
aapt.exe,C:\samples\malware\AndroRat_6Dec2013\AndroRat\androrat\build\aapt.exe,malware,build
AndroRat Binder_Patched.exe,C:\samples\malware\AndroRat_6Dec2013\AndroRat\androrat\build\AndroRat Binder_Patched.exe,malware,build
InstallBC201401.exe,C:\samples\malware\Artemis\InstallBC201401.exe,malware,Artemis
Backdoor.MSIL.Tyupkin.a.ViR,C:\samples\malware\Backdoor.MSIL.Tyupkin\Backdoor.MSIL.Tyupkin.a.ViR,malware,Backdoor.MSIL.Tyupkin
Backdoor.MSIL.Tyupkin.c.ViR,C:\samples\malware\Backdoor.MSIL.Tyupkin\Backdoor.MSIL.Tyupkin.c.ViR,malware,Backdoor.MSIL.Tyupkin
Backdoor.Win32.Tyupkin.c2.ViR,C:\samples\malware\Backdoor.MSIL.Tyupkin\Backdoor.Win32.Tyupkin.c2.ViR,malware,Backdoor.MSIL.Tyupkin
Backdoor.Win32.Tyupkin.d.ViR,C:\samples\malware\Backdoor.MSIL.Tyupkin\Backdoor.Win32.Tyupkin.d.ViR,malware,Backdoor.MSIL.Tyupkin
Backdoor.Win32.Tyupkin.h.exe.ViR,C:\samples\malware\Backdoor.MSIL.Tyupkin\Backdoor.Win32.Tyupkin.h.exe.ViR,malware,Backdoor.MSIL.Tyupkin
rootkit.ex1,C:\samples\malware\BlackEnergy2.1\rootkit.ex1,malware,BlackEnergy2.1
19e818d0da361c4feedd456fca63d68d4b024fbbd3d9265f606076c7ee72e8f8.ViR,C:\samples\malware\Careto_Feb2014\19e818d0da361c4feedd456fca63d68d4b024fbbd3d9265f606076c7ee72e8f8.ViR,malware,Careto_Feb2014
jpeg1x32.dll_C2BA81C0DE01038A54703DE26B18E9EE,C:\samples\malware\Careto_Feb2014\jpeg1x32.dll_C2BA81C0DE01038A54703DE26B18E9EE,malware,Careto_Feb2014
shmgr.dll_AD6590E0DF575228911852B1E401D46E,C:\samples\malware\Careto_Feb2014\shmgr.dll_AD6590E0DF575228911852B1E401D46E,malware,Careto_Feb2014
___2A6E.tmp,C:\samples\malware\Careto_Feb2014\___2A6E.tmp,malware,Careto_Feb2014
{71257279-042b-371d-a1d3-fbf8d2fadffa}.exe,C:\samples\malware\CryptoLocker_10Sep2013\{71257279-042b-371d-a1d3-fbf8d2fadffa}.exe,malware,CryptoLocker_10Sep2013
Vcffipzmnipbxzdl.exe,C:\samples\malware\CryptoLocker_20Nov2013\Vcffipzmnipbxzdl.exe,malware,CryptoLocker_20Nov2013
1002.exe,C:\samples\malware\CryptoLocker_22Jan2014\1002.exe,malware,CryptoLocker_22Jan2014
1003.exe,C:\samples\malware\CryptoLocker_22Jan2014\1003.exe,malware,CryptoLocker_22Jan2014
52fe506928b0262f10de31e783af8540b6a0b232b15749d647847488acd0e17a,C:\samples\malware\Duqu2\Cores\52fe506928b0262f10de31e783af8540b6a0b232b15749d647847488acd0e17a,malware,Cores
81cdbe905392155a1ba8b687a02e65d611b60aac938e470a76ef518e8cffd74d,C:\samples\malware\Duqu2\Cores\81cdbe905392155a1ba8b687a02e65d611b60aac938e470a76ef518e8cffd74d,malware,Cores
bc4ae56434b45818f57724f4cd19354a13e5964fd097d1933a30e2e31c9bdfa5.bin,C:\samples\malware\Duqu2\Driver\bc4ae56434b45818f57724f4cd19354a13e5964fd097d1933a30e2e31c9bdfa5.bin,malware,Driver
2796a119171328e91648a73d95eb297edc220e8768f4bbba5fb7237122a988fc,C:\samples\malware\Duqu2\IOC\2796a119171328e91648a73d95eb297edc220e8768f4bbba5fb7237122a988fc,malware,IOC
2a9a5afc342cde12c6eb9a91ad29f7afdfd8f0fb17b983dcfddceccfbc17af69,C:\samples\malware\Duqu2\IOC\2a9a5afc342cde12c6eb9a91ad29f7afdfd8f0fb17b983dcfddceccfbc17af69,malware,IOC
2c9c3ddd4d93e687eb095444cef7668b21636b364bff55de953bdd1df40071da,C:\samples\malware\Duqu2\IOC\2c9c3ddd4d93e687eb095444cef7668b21636b364bff55de953bdd1df40071da,malware,IOC
2ecb26021d21fcef3d8bba63de0c888499110a2b78e4caa6fa07a2b27d87f71b,C:\samples\malware\Duqu2\IOC\2ecb26021d21fcef3d8bba63de0c888499110a2b78e4caa6fa07a2b27d87f71b,malware,IOC
3536df7379660d931256b3cf49be810c0d931c3957c464d75e4cba78ba3b92e3,C:\samples\malware\Duqu2\IOC\3536df7379660d931256b3cf49be810c0d931c3957c464d75e4cba78ba3b92e3,malware,IOC
5559fcc93eef38a1c22db66a3e0f9e9f026c99e741cc8b1a4980d166f2696188,C:\samples\malware\Duqu2\IOC\5559fcc93eef38a1c22db66a3e0f9e9f026c99e741cc8b1a4980d166f2696188,malware,IOC
5ba187106567e8d036edd5ddb6763f89774c158d2a571e15d76572d8604c22a0,C:\samples\malware\Duqu2\IOC\5ba187106567e8d036edd5ddb6763f89774c158d2a571e15d76572d8604c22a0,malware,IOC
6217cebf11a76c888cc6ae94f54597a877462ed70da49a88589a9197173cc072,C:\samples\malware\Duqu2\IOC\6217cebf11a76c888cc6ae94f54597a877462ed70da49a88589a9197173cc072,malware,IOC
6b146e3a59025d7085127b552494e8aaf76450a19c249bfed0b4c09f328e564f,C:\samples\malware\Duqu2\IOC\6b146e3a59025d7085127b552494e8aaf76450a19c249bfed0b4c09f328e564f,malware,IOC
6c803aac51038ce308ee085f2cd82a055aaa9ba24d08a19efb2c0fcfde936c34,C:\samples\malware\Duqu2\IOC\6c803aac51038ce308ee085f2cd82a055aaa9ba24d08a19efb2c0fcfde936c34,malware,IOC
6de1bb58ae3c37876c6372208366f5548fcc647ffd19ad1d31cebd9069b8a559,C:\samples\malware\Duqu2\IOC\6de1bb58ae3c37876c6372208366f5548fcc647ffd19ad1d31cebd9069b8a559,malware,IOC
6e09e1a4f56ea736ff21ad5e188845615b57e1a5168f4bdaebe7ddc634912de9,C:\samples\malware\Duqu2\IOC\6e09e1a4f56ea736ff21ad5e188845615b57e1a5168f4bdaebe7ddc634912de9,malware,IOC
8e97c371633d285cd8fc842f4582705052a9409149ee67d97de545030787a192,C:\samples\malware\Duqu2\IOC\8e97c371633d285cd8fc842f4582705052a9409149ee67d97de545030787a192,malware,IOC
9900c91f6d754f15f73729ce5a4333a718463e24aa7e6192c7527ec5c80dac42,C:\samples\malware\Duqu2\IOC\9900c91f6d754f15f73729ce5a4333a718463e24aa7e6192c7527ec5c80dac42,malware,IOC
c16410c49dc40a371be22773f420b7dd3cfd4d8205cf39909ad9a6f26f55718e,C:\samples\malware\Duqu2\IOC\c16410c49dc40a371be22773f420b7dd3cfd4d8205cf39909ad9a6f26f55718e,malware,IOC
d12cd9490fd75e192ea053a05e869ed2f3f9748bf1563e6e496e7153fb4e6c98,C:\samples\malware\Duqu2\IOC\d12cd9490fd75e192ea053a05e869ed2f3f9748bf1563e6e496e7153fb4e6c98,malware,IOC
d5c57788cf12b020c4083eb228911260b744a2a67c88662c9bab8faebca98fa2,C:\samples\malware\Duqu2\IOC\d5c57788cf12b020c4083eb228911260b744a2a67c88662c9bab8faebca98fa2,malware,IOC
d8a849654ab97debaf28ae5b749c3b1ff1812ea49978713853333db48c3972c3,C:\samples\malware\Duqu2\IOC\d8a849654ab97debaf28ae5b749c3b1ff1812ea49978713853333db48c3972c3,malware,IOC
e83c6c36dbd143ee0fd36aff30fb43529a34129817dc2530f251121527cbf4b4,C:\samples\malware\Duqu2\IOC\e83c6c36dbd143ee0fd36aff30fb43529a34129817dc2530f251121527cbf4b4,malware,IOC
dump1.exe,C:\samples\malware\Dyre\Dump\dump1.exe,malware,Dump
999bc5e16312db6abff5f6c9e54c546f.bin,C:\samples\malware\Dyre\Original\999bc5e16312db6abff5f6c9e54c546f.bin,malware,Original
b44634d90a9ff2ed8a9d0304c11bf612.bin,C:\samples\malware\Dyre\Original\b44634d90a9ff2ed8a9d0304c11bf612.bin,malware,Original
chqpl.file,C:\samples\malware\Dyre\Original\chqpl.file,malware,Original
dd207384b31d118745ebc83203a4b04a.bin,C:\samples\malware\Dyre\Original\dd207384b31d118745ebc83203a4b04a.bin,malware,Original
Document-772976_829712.scr,C:\samples\malware\Dyre\Original\Document-772976_829712.scr,malware,Original
fax_390392029_072514.exe,C:\samples\malware\Dyre\Original\fax_390392029_072514.exe,malware,Original
loader_9b313e9c79921b22b488a11344b280d4cec9dd09c2201f9e5aaf08a115650b25,C:\samples\malware\Dyre\Original\loader_9b313e9c79921b22b488a11344b280d4cec9dd09c2201f9e5aaf08a115650b25,malware,Original
payload_f8eccfebda8a1e0caabbe23a8b94d7ced980353a9b3673a4173e24958a3bdbb9,C:\samples\malware\Dyre\Original\payload_f8eccfebda8a1e0caabbe23a8b94d7ced980353a9b3673a4173e24958a3bdbb9,malware,Original
Dyre_Unpacked.file,C:\samples\malware\Dyre\Unpacked\Dyre_Unpacked.file,malware,Unpacked
01b09cb97a58ea0f9bf2b98b38b83f0cfc9f97f39f7bfd73a990c9b00bcdb66c,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\01b09cb97a58ea0f9bf2b98b38b83f0cfc9f97f39f7bfd73a990c9b00bcdb66c,malware,Win32.EarthKrahang_20240404
05b63707ca3cad54085e521aee84c7472ff7b3fe05e22fd65c8e2ee6f36c6243,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\05b63707ca3cad54085e521aee84c7472ff7b3fe05e22fd65c8e2ee6f36c6243,malware,Win32.EarthKrahang_20240404
0ff80e4db32d1d45a0c2afdfd7a1be961c0fbd9d43613a22a989f9024cc1b1e9,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\0ff80e4db32d1d45a0c2afdfd7a1be961c0fbd9d43613a22a989f9024cc1b1e9,malware,Win32.EarthKrahang_20240404
10b2a7c9329b232e4eef81bac6ba26323e3683ac1f8a99d3a9f8965da5036b6f,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\10b2a7c9329b232e4eef81bac6ba26323e3683ac1f8a99d3a9f8965da5036b6f,malware,Win32.EarthKrahang_20240404
18f4f14857e9b7e3aa1f6f21f21396abd5f421342b7f4d00402a4aff5a538fa1,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\18f4f14857e9b7e3aa1f6f21f21396abd5f421342b7f4d00402a4aff5a538fa1,malware,Win32.EarthKrahang_20240404
1d3d460b22f70cc26252673e12dfd85da988f69046d6b94602576270df590b2c,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\1d3d460b22f70cc26252673e12dfd85da988f69046d6b94602576270df590b2c,malware,Win32.EarthKrahang_20240404
1e278cfe8098f3badedd5e497f36753d46d96d81edd1c5bee4fc7bc6380c26b3,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\1e278cfe8098f3badedd5e497f36753d46d96d81edd1c5bee4fc7bc6380c26b3,malware,Win32.EarthKrahang_20240404
241737842eb17676b3603e2f076336b7bc6304accef3057401264affb963bef8,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\241737842eb17676b3603e2f076336b7bc6304accef3057401264affb963bef8,malware,Win32.EarthKrahang_20240404
2e3645c8441f2be4182869db5ae320da00c513e0cb643142c70a833f529f28aa,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\2e3645c8441f2be4182869db5ae320da00c513e0cb643142c70a833f529f28aa,malware,Win32.EarthKrahang_20240404
