Sample,FullPath,Label,Malware_Class,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,SizeOfHeaders,Machine,Magic,Num_Sections,Non_Standard_Sections,Size_Mismatch_Count,Avg_Entropy,Packed,Total_VirtualSize,Total_RawSize,Num_Imported_DLLs,Num_Imported_APIs,has_msvcpl40.dll,has_user32.dll,has_vcruntime140.dll,has_oleaut32.dll,has_kernel.dll,has_mscore.dll,has_advapi.dll,has_WriteFile,has_CreateProcessW,has_CreateDirectory,has_sleep,has_GetProcAddress,has_CreatePopupMenu,has_CloseClipboard,has_LoadLibraryA,has_GetModuleHandleA
0468127a19daf4c7bc41015c5640fe1f,C:\samples\malware\All.ElectroRAT\0468127a19daf4c7bc41015c5640fe1f,malware,All.ElectroRAT,14,25,48128,66560,0,7717,4096,4194304,4096,1024,332,267,5,0,5,4.367,0,116079,114688,2,68,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
2a3b92f6180367306d750e59c9b6446b,C:\samples\malware\All.ElectroRAT\2a3b92f6180367306d750e59c9b6446b,malware,All.ElectroRAT,14,24,136192,50176,0,60058,4096,4194304,4096,1024,332,267,5,0,5,4.911,0,185800,181760,5,118,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
b154ac015c0d1d6250032f63c749f9cf,C:\samples\malware\All.ElectroRAT\b154ac015c0d1d6250032f63c749f9cf,malware,All.ElectroRAT,10,0,21504,445440,0,9444,4096,4194304,4096,1024,332,267,5,0,5,4.697,0,469368,466944,3,77,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
b96bd6bbf0e3f4f98b606a2ab5db4a69,C:\samples\malware\All.ElectroRAT\b96bd6bbf0e3f4f98b606a2ab5db4a69,malware,All.ElectroRAT,14,16,45568,291328,0,7503,4096,4194304,4096,1024,332,267,5,0,5,4.922,0,338579,336896,2,84,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
bb8e52face5b076cc890bbfaaf4bb73e,C:\samples\malware\All.ElectroRAT\bb8e52face5b076cc890bbfaaf4bb73e,malware,All.ElectroRAT,2,25,199168,27136,0,203052,4096,4194304,4096,1024,332,267,7,4,6,3.782,0,227172,226304,6,182,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
ca467e332368cbae652245faa4978aa4,C:\samples\malware\All.ElectroRAT\ca467e332368cbae652245faa4978aa4,malware,All.ElectroRAT,2,25,103936,22528,0,107648,4096,4194304,4096,1024,332,267,7,4,6,3.839,0,127527,126464,6,120,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1
e93d6f4ce34d4f594d7aed76cfde0fad,C:\samples\malware\All.ElectroRAT\e93d6f4ce34d4f594d7aed76cfde0fad,malware,All.ElectroRAT,10,0,20480,650752,0,7740,4096,4194304,4096,1024,332,267,5,0,5,4.208,0,674140,671232,2,63,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
fa5390bbcc4ab768dd81f31eac0950f6,C:\samples\malware\All.ElectroRAT\fa5390bbcc4ab768dd81f31eac0950f6,malware,All.ElectroRAT,14,25,48128,563200,0,7717,4096,4194304,4096,1024,332,267,5,0,5,4.33,0,612723,611328,2,68,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
aapt.exe,C:\samples\malware\AndroRat_6Dec2013\AndroRat\androrat\build\aapt.exe,malware,build,2,56,697856,852992,4096,4400,4096,4194304,4096,1024,332,267,5,1,5,3.736,0,856004,852992,2,131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
AndroRat Binder_Patched.exe,C:\samples\malware\AndroRat_6Dec2013\AndroRat\androrat\build\AndroRat Binder_Patched.exe,malware,build,8,0,354304,220672,0,362286,8192,4194304,8192,512,332,267,3,0,2,4.16,0,574272,574976,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
