Sample,FullPath,Label,Malware_Class,Num_Sections,Non_Standard_Sections,Size_Mismatch_Count,Avg_Entropy,Packed,Num_Imported_DLLs,Num_Imported_APIs,DLLs,APIs
0468127a19daf4c7bc41015c5640fe1f,C:\samples\malware\All.ElectroRAT\0468127a19daf4c7bc41015c5640fe1f,malware,All.ElectroRAT,5,0,5,4.367,0,2,68,"KERNEL32.dll,USER32.dll","CloseHandle,CreateFileW,DecodePointer,DeleteCriticalSection,DispatchMessageW,EnterCriticalSection,ExitProcess,FindClose,FindFirstFileExW,FindNextFileW,FlushFileBuffers,FreeEnvironmentStringsW,FreeLibrary,GetACP,GetCPInfo,GetCommandLineA,GetCommandLineW,GetConsoleCP,GetConsoleMode,GetCurrentProcess,GetCurrentProcessId,GetCurrentThreadId,GetEnvironmentStringsW,GetFileType,GetLastError,GetMessageW,GetModuleFileNameW,GetModuleHandleA,GetModuleHandleExW,GetModuleHandleW,GetOEMCP,GetProcAddress,GetProcessHeap,GetStartupInfoW,GetStdHandle,GetStringTypeW,GetSystemTimeAsFileTime,HeapAlloc,HeapFree,HeapReAlloc,HeapSize,InitializeCriticalSectionAndSpinCount,InitializeSListHead,IsDebuggerPresent,IsProcessorFeaturePresent,IsValidCodePage,LCMapStringW,LeaveCriticalSection,LoadLibraryA,LoadLibraryExW,MultiByteToWideChar,QueryPerformanceCounter,RaiseException,RtlUnwind,SetFilePointerEx,SetLastError,SetStdHandle,SetUnhandledExceptionFilter,TerminateProcess,TlsAlloc,TlsFree,TlsGetValue,TlsSetValue,TranslateMessage,UnhandledExceptionFilter,WideCharToMultiByte,WriteConsoleW,WriteFile"
2a3b92f6180367306d750e59c9b6446b,C:\samples\malware\All.ElectroRAT\2a3b92f6180367306d750e59c9b6446b,malware,All.ElectroRAT,5,0,5,4.911,0,5,118,"ADVAPI32.dll,KERNEL32.dll,SHELL32.dll,USER32.dll,WININET.dll","CloseHandle,CompareStringW,ConvertSidToStringSidW,CreateDirectoryA,CreateFileA,CreateFileW,CreateMutexW,CreateProcessA,CreateThread,DecodePointer,DeleteCriticalSection,DeleteFileW,EncodePointer,EnterCriticalSection,ExitProcess,FileTimeToSystemTime,FindClose,FindFirstFileExW,FindNextFileW,FlushFileBuffers,FreeEnvironmentStringsW,FreeLibrary,GetACP,GetCPInfo,GetCommandLineA,GetCommandLineW,GetComputerNameExW,GetComputerNameW,GetConsoleCP,GetConsoleMode,GetCurrentDirectoryW,GetCurrentProcess,GetCurrentProcessId,GetCurrentThreadId,GetDriveTypeW,GetEnvironmentStringsW,GetFileAttributesA,GetFileInformationByHandle,GetFileSizeEx,GetFileType,GetFullPathNameW,GetLastError,GetModuleFileNameA,GetModuleFileNameW,GetModuleHandleA,GetModuleHandleExW,GetModuleHandleW,GetOEMCP,GetProcAddress,GetProcessHeap,GetStartupInfoW,GetStdHandle,GetStringTypeW,GetSystemInfo,GetSystemMetrics,GetSystemTimeAsFileTime,GetTempPathW,GetThreadContext,GetTimeZoneInformation,GetUserNameW,GetVersionExW,HeapAlloc,HeapFree,HeapReAlloc,HeapSize,HttpOpenRequestW,HttpSendRequestW,InitializeCriticalSectionAndSpinCount,InitializeSListHead,InternetCloseHandle,InternetConnectW,InternetOpenUrlW,InternetOpenW,InternetReadFile,IsDebuggerPresent,IsProcessorFeaturePresent,IsValidCodePage,LCMapStringW,LeaveCriticalSection,LoadLibraryExW,LoadLibraryW,LocalFree,LookupAccountNameW,MultiByteToWideChar,PeekNamedPipe,QueryPerformanceCounter,RaiseException,ReadConsoleW,ReadFile,ReadProcessMemory,ResumeThread,RtlUnwind,SetEndOfFile,SetEnvironmentVariableW,SetFilePointerEx,SetLastError,SetStdHandle,SetThreadContext,SetUnhandledExceptionFilter,ShellExecuteA,ShellExecuteExW,Sleep,SuspendThread,SystemTimeToTzSpecificLocalTime,TerminateProcess,TlsAlloc,TlsFree,TlsGetValue,TlsSetValue,UnhandledExceptionFilter,VirtualAlloc,VirtualAllocEx,VirtualFree,WaitForSingleObject,WideCharToMultiByte,WriteConsoleW,WriteFile,WriteProcessMemory"
b154ac015c0d1d6250032f63c749f9cf,C:\samples\malware\All.ElectroRAT\b154ac015c0d1d6250032f63c749f9cf,malware,All.ElectroRAT,5,0,5,4.697,0,3,77,"GDI32.dll,KERNEL32.dll,USER32.dll","BeginPaint,CloseHandle,CreateWindowExW,DecodePointer,DefWindowProcW,DeleteCriticalSection,DispatchMessageW,EncodePointer,EndPaint,EnterCriticalSection,ExitProcess,FreeEnvironmentStringsW,GetACP,GetCPInfo,GetClientRect,GetCommandLineA,GetCurrentProcess,GetCurrentProcessId,GetCurrentThreadId,GetDC,GetEnvironmentStringsW,GetFileType,GetLastError,GetMessageW,GetModuleFileNameA,GetModuleFileNameW,GetModuleHandleW,GetOEMCP,GetProcAddress,GetStartupInfoW,GetStdHandle,GetStockObject,GetStringTypeW,GetSystemTimeAsFileTime,GetTickCount,HeapAlloc,HeapCreate,HeapFree,HeapReAlloc,HeapSetInformation,HeapSize,InitializeCriticalSectionAndSpinCount,InterlockedDecrement,InterlockedIncrement,IsDebuggerPresent,IsProcessorFeaturePresent,IsValidCodePage,LCMapStringW,LeaveCriticalSection,LineTo,LoadCursorW,LoadIconW,LoadLibraryA,LoadLibraryW,MoveToEx,MultiByteToWideChar,PostQuitMessage,QueryPerformanceCounter,RegisterClassW,ReleaseDC,RtlUnwind,SetHandleCount,SetLastError,SetLocaleInfoW,SetUnhandledExceptionFilter,ShowWindow,Sleep,TerminateProcess,TlsAlloc,TlsFree,TlsGetValue,TlsSetValue,TranslateMessage,UnhandledExceptionFilter,UpdateWindow,WideCharToMultiByte,WriteFile"
b96bd6bbf0e3f4f98b606a2ab5db4a69,C:\samples\malware\All.ElectroRAT\b96bd6bbf0e3f4f98b606a2ab5db4a69,malware,All.ElectroRAT,5,0,5,4.922,0,2,84,"KERNEL32.dll,USER32.dll","BeginPaint,CloseHandle,CreateFileW,CreateWindowExW,DecodePointer,DefWindowProcW,DeleteCriticalSection,DestroyWindow,DispatchMessageW,EndPaint,EnterCriticalSection,ExitProcess,FindClose,FindFirstFileExW,FindNextFileW,FlushFileBuffers,FreeEnvironmentStringsW,FreeLibrary,GetACP,GetCPInfo,GetCommandLineA,GetCommandLineW,GetConsoleCP,GetConsoleMode,GetCurrentProcess,GetCurrentProcessId,GetCurrentThreadId,GetEnvironmentStringsW,GetFileType,GetLastError,GetMessageW,GetModuleFileNameW,GetModuleHandleA,GetModuleHandleExW,GetModuleHandleW,GetOEMCP,GetProcAddress,GetProcessHeap,GetStartupInfoW,GetStdHandle,GetStringTypeW,GetSystemTimeAsFileTime,HeapAlloc,HeapFree,HeapReAlloc,HeapSize,InitializeCriticalSectionAndSpinCount,InitializeSListHead,IsDebuggerPresent,IsProcessorFeaturePresent,IsValidCodePage,IsValidLocale,LCMapStringW,LeaveCriticalSection,LoadCursorW,LoadLibraryA,LoadLibraryExW,MultiByteToWideChar,PostQuitMessage,QueryPerformanceCounter,RaiseException,RegisterClassExW,RtlUnwind,SetFilePointerEx,SetLastError,SetStdHandle,SetUnhandledExceptionFilter,ShowWindow,TerminateProcess,TlsAlloc,TlsFree,TlsGetValue,TlsSetValue,TranslateAcceleratorW,TranslateMessage,UnhandledExceptionFilter,UpdateWindow,VirtualAlloc,VirtualFree,VirtualProtect,WideCharToMultiByte,WriteConsoleW,WriteFile,lstrcpyW"
bb8e52face5b076cc890bbfaaf4bb73e,C:\samples\malware\All.ElectroRAT\bb8e52face5b076cc890bbfaaf4bb73e,malware,All.ElectroRAT,7,4,6,3.782,0,6,182,"advapi32.dll,gdi32.dll,kernel32.dll,oleaut32.dll,user32.dll,wsock32.dll","BitBlt,CharLowerBuffA,CharNextA,CharToOemA,CharUpperBuffA,CloseHandle,CompareStringA,CopyEnhMetaFileA,CreateBitmap,CreateBrushIndirect,CreateCompatibleBitmap,CreateCompatibleDC,CreateDIBSection,CreateDIBitmap,CreateEventA,CreateFileA,CreateFontIndirectA,CreateHalftonePalette,CreateIcon,CreateMutexA,CreatePalette,CreatePenIndirect,DeleteCriticalSection,DeleteDC,DeleteEnhMetaFile,DeleteFileA,DeleteObject,DestroyIcon,DrawIconEx,EnterCriticalSection,EnumCalendarInfoA,ExitProcess,FileTimeToDosDateTime,FileTimeToLocalFileTime,FillRect,FindClose,FindFirstFileA,FormatMessageA,FreeLibrary,GdiFlush,GetACP,GetBitmapBits,GetBrushOrgEx,GetCPInfo,GetClipboardData,GetCommandLineA,GetCurrentPositionEx,GetCurrentProcess,GetCurrentThread,GetCurrentThreadId,GetDC,GetDIBColorTable,GetDIBits,GetDateFormatA,GetDeviceCaps,GetDiskFreeSpaceA,GetEnhMetaFileBits,GetEnhMetaFileHeader,GetEnhMetaFilePaletteEntries,GetFileSize,GetFileType,GetFullPathNameA,GetIconInfo,GetKeyboardType,GetLastError,GetLocalTime,GetLocaleInfoA,GetModuleFileNameA,GetModuleHandleA,GetObjectA,GetPaletteEntries,GetPixel,GetProcAddress,GetProcessHeap,GetSidIdentifierAuthority,GetSidSubAuthority,GetSidSubAuthorityCount,GetStartupInfoA,GetStdHandle,GetStockObject,GetStringTypeExA,GetSysColor,GetSystemInfo,GetSystemMetrics,GetSystemPaletteEntries,GetTempPathA,GetTextMetricsA,GetThreadLocale,GetTickCount,GetTokenInformation,GetVersion,GetVersionExA,GetWinMetaFileBits,GlobalAlloc,GlobalFree,GlobalHandle,GlobalLock,GlobalReAlloc,GlobalUnlock,HeapAlloc,HeapFree,InitializeCriticalSection,InterlockedDecrement,InterlockedIncrement,IsValidSid,LeaveCriticalSection,LoadIconA,LoadLibraryExA,LoadStringA,LocalAlloc,LocalFree,MaskBlt,MessageBoxA,MoveToEx,MulDiv,MultiByteToWideChar,OpenProcessToken,OpenThreadToken,PatBlt,PlayEnhMetaFile,RaiseException,ReadFile,RealizePalette,RegCloseKey,RegOpenKeyExA,RegQueryValueExA,ReleaseDC,ResetEvent,RtlUnwind,SafeArrayCreate,SafeArrayGetLBound,SafeArrayGetUBound,SafeArrayPtrOfIndex,SelectObject,SelectPalette,SetBkColor,SetBkMode,SetBrushOrgEx,SetDIBColorTable,SetEndOfFile,SetEnhMetaFileBits,SetEvent,SetFilePointer,SetLastError,SetROP2,SetStretchBltMode,SetTextColor,SetWinMetaFileBits,Sleep,StretchBlt,SysAllocStringLen,SysFreeString,SysReAllocStringLen,TlsAlloc,TlsFree,TlsGetValue,TlsSetValue,UnhandledExceptionFilter,UnrealizeObject,VariantChangeType,VariantClear,VariantCopy,VariantInit,VirtualAlloc,VirtualFree,VirtualQuery,WSACleanup,WSAStartup,WaitForSingleObject,WideCharToMultiByte,WriteFile,closesocket,connect,gethostbyname,htons,inet_addr,inet_ntoa,lstrcpynA,lstrlenA,recv,send,socket"
ca467e332368cbae652245faa4978aa4,C:\samples\malware\All.ElectroRAT\ca467e332368cbae652245faa4978aa4,malware,All.ElectroRAT,7,4,6,3.839,0,6,120,"advapi32.dll,crypt32.dll,kernel32.dll,oleaut32.dll,user32.dll,wsock32.dll","CharNextA,CharToOemA,CharUpperBuffA,CloseHandle,CompareStringA,CreateEventA,CreateFileA,CreateMutexA,CryptUnprotectData,DeleteCriticalSection,EnterCriticalSection,EnumCalendarInfoA,ExitProcess,FileTimeToDosDateTime,FileTimeToLocalFileTime,FindClose,FindFirstFileA,FormatMessageA,FreeLibrary,GetACP,GetCPInfo,GetCommandLineA,GetCurrentProcess,GetCurrentThread,GetCurrentThreadId,GetDateFormatA,GetDiskFreeSpaceA,GetFileSize,GetFileType,GetFullPathNameA,GetKeyboardType,GetLastError,GetLocalTime,GetLocaleInfoA,GetModuleFileNameA,GetModuleHandleA,GetProcAddress,GetProcessHeap,GetSidIdentifierAuthority,GetSidSubAuthority,GetSidSubAuthorityCount,GetStartupInfoA,GetStdHandle,GetStringTypeExA,GetSystemMetrics,GetThreadLocale,GetTokenInformation,GetVersion,GetVersionExA,HeapAlloc,HeapFree,InitializeCriticalSection,InterlockedDecrement,InterlockedIncrement,IsValidSid,LeaveCriticalSection,LoadLibraryA,LoadLibraryExA,LoadStringA,LocalAlloc,LocalFree,MessageBoxA,MultiByteToWideChar,OpenProcess,OpenProcessToken,OpenThreadToken,RaiseException,ReadFile,RegCloseKey,RegCreateKeyExA,RegEnumKeyA,RegEnumKeyExA,RegEnumValueA,RegFlushKey,RegOpenKeyA,RegOpenKeyExA,RegQueryInfoKeyA,RegQueryValueExA,ResetEvent,RtlUnwind,SafeArrayCreate,SafeArrayGetLBound,SafeArrayGetUBound,SafeArrayPtrOfIndex,SetEndOfFile,SetEvent,SetFilePointer,SetLastError,Sleep,SysAllocStringLen,SysFreeString,SysReAllocStringLen,TlsAlloc,TlsFree,TlsGetValue,TlsSetValue,UnhandledExceptionFilter,VariantChangeType,VariantClear,VariantCopy,VariantInit,VirtualAlloc,VirtualFree,VirtualQuery,WSACleanup,WSAStartup,WaitForSingleObject,WideCharToMultiByte,WriteFile,closesocket,connect,gethostbyname,gethostname,htons,inet_ntoa,lstrcpynA,lstrlenA,recv,send,socket"
e93d6f4ce34d4f594d7aed76cfde0fad,C:\samples\malware\All.ElectroRAT\e93d6f4ce34d4f594d7aed76cfde0fad,malware,All.ElectroRAT,5,0,5,4.208,0,2,63,"KERNEL32.dll,USER32.dll","CloseHandle,CreateWindowExW,DecodePointer,DeleteCriticalSection,DispatchMessageW,EncodePointer,EnterCriticalSection,ExitProcess,FreeEnvironmentStringsW,GetACP,GetCPInfo,GetCommandLineW,GetCurrentProcess,GetCurrentProcessId,GetCurrentThreadId,GetEnvironmentStringsW,GetFileType,GetLastError,GetMessageW,GetModuleFileNameW,GetModuleHandleA,GetModuleHandleW,GetOEMCP,GetProcAddress,GetStartupInfoW,GetStdHandle,GetStringTypeW,GetSystemTimeAsFileTime,GetTickCount,HeapAlloc,HeapCreate,HeapFree,HeapReAlloc,HeapSetInformation,HeapSize,InitializeCriticalSectionAndSpinCount,InterlockedDecrement,InterlockedIncrement,IsDebuggerPresent,IsProcessorFeaturePresent,IsValidCodePage,LCMapStringW,LeaveCriticalSection,LoadLibraryW,MultiByteToWideChar,QueryPerformanceCounter,RtlUnwind,SetHandleCount,SetLastError,SetUnhandledExceptionFilter,ShowWindow,Sleep,TerminateProcess,TlsAlloc,TlsFree,TlsGetValue,TlsSetValue,TranslateMessage,UnhandledExceptionFilter,UpdateWindow,WideCharToMultiByte,WriteFile,lstrcpyW"
fa5390bbcc4ab768dd81f31eac0950f6,C:\samples\malware\All.ElectroRAT\fa5390bbcc4ab768dd81f31eac0950f6,malware,All.ElectroRAT,5,0,5,4.33,0,2,68,"KERNEL32.dll,USER32.dll","CloseHandle,CreateFileW,DecodePointer,DeleteCriticalSection,DispatchMessageW,EnterCriticalSection,ExitProcess,FindClose,FindFirstFileExW,FindNextFileW,FlushFileBuffers,FreeEnvironmentStringsW,FreeLibrary,GetACP,GetCPInfo,GetCommandLineA,GetCommandLineW,GetConsoleCP,GetConsoleMode,GetCurrentProcess,GetCurrentProcessId,GetCurrentThreadId,GetEnvironmentStringsW,GetFileType,GetLastError,GetMessageW,GetModuleFileNameW,GetModuleHandleA,GetModuleHandleExW,GetModuleHandleW,GetOEMCP,GetProcAddress,GetProcessHeap,GetStartupInfoW,GetStdHandle,GetStringTypeW,GetSystemTimeAsFileTime,HeapAlloc,HeapFree,HeapReAlloc,HeapSize,InitializeCriticalSectionAndSpinCount,InitializeSListHead,IsDebuggerPresent,IsProcessorFeaturePresent,IsValidCodePage,LCMapStringW,LeaveCriticalSection,LoadLibraryA,LoadLibraryExW,MultiByteToWideChar,QueryPerformanceCounter,RaiseException,RtlUnwind,SetFilePointerEx,SetLastError,SetStdHandle,SetUnhandledExceptionFilter,TerminateProcess,TlsAlloc,TlsFree,TlsGetValue,TlsSetValue,TranslateMessage,UnhandledExceptionFilter,WideCharToMultiByte,WriteConsoleW,WriteFile"
aapt.exe,C:\samples\malware\AndroRat_6Dec2013\AndroRat\androrat\build\aapt.exe,malware,build,5,1,5,3.736,0,2,131,"KERNEL32.dll,msvcrt.dll","CloseHandle,CreateEventA,CreateFileMappingA,CreateMutexA,CreateSemaphoreA,CreateThread,DeleteCriticalSection,EnterCriticalSection,ExitProcess,GetCurrentThreadId,GetFileAttributesA,GetLastError,GetModuleHandleA,GetProcAddress,GetSystemInfo,GetSystemTimeAsFileTime,InitializeCriticalSection,InterlockedDecrement,InterlockedExchange,InterlockedIncrement,IsDBCSLeadByteEx,LeaveCriticalSection,MapViewOfFile,MultiByteToWideChar,ReleaseMutex,ReleaseSemaphore,SetLastError,SetUnhandledExceptionFilter,SignalObjectAndWait,Sleep,TlsAlloc,TlsFree,TlsGetValue,TlsSetValue,UnmapViewOfFile,WaitForSingleObject,WideCharToMultiByte,__getmainargs,__lc_codepage,__mb_cur_max,__p__environ,__p__fmode,__set_app_type,_access,_cexit,_chsize,_close,_dup,_errno,_fdopen,_filbuf,_findclose,_findfirst,_findnext,_fstat,_fullpath,_get_osfhandle,_getpid,_iob,_isctype,_lseek,_lseeki64,_mkdir,_onexit,_open,_pctype,_read,_setjmp,_setmode,_stat,_strdup,_stricmp,_strnicmp,_unlink,_write,abort,atexit,atoi,calloc,exit,fclose,fflush,fopen,fprintf,fputc,fputs,fread,free,fseek,ftell,fwrite,getenv,gmtime,localeconv,localtime,longjmp,malloc,memchr,memcpy,memmove,memset,mktime,pow,printf,putchar,puts,qsort,rand,realloc,remove,rewind,signal,sprintf,srand,strcat,strchr,strcmp,strcpy,strerror,strftime,strlen,strncmp,strncpy,strrchr,strstr,strtok,strtol,time,tolower,toupper,wcslen"
AndroRat Binder_Patched.exe,C:\samples\malware\AndroRat_6Dec2013\AndroRat\androrat\build\AndroRat Binder_Patched.exe,malware,build,3,0,2,4.16,0,1,1,mscoree.dll,_CorExeMain
